# ATT&CK technique catalog. GENERATED - do not edit by hand.
# Source: pySigma mitre_attack data, the same dataset `sigma check`
# validates hunting-detections/ against.
# Regenerate: python tools/report-tooling/generate-attack-catalog.py
# attack_version	19.2
# id	primary_tactic	name	all_tactics
T1683.001	Resource Development	Written Content	Resource Development
T1683.002	Resource Development	Audio-Visual Content	Resource Development
T1684	Stealth	Social Engineering	Stealth
T1684.001	Stealth	Impersonation	Stealth
T1684.002	Stealth	Email Spoofing	Stealth
T1685	Defense Impairment	Disable or Modify Tools	Defense Impairment
T1685.001	Defense Impairment	Disable or Modify Windows Event Log	Defense Impairment
T1685.002	Defense Impairment	Disable or Modify Cloud Log	Defense Impairment
T1685.003	Defense Impairment	Modify or Spoof Tool UI	Defense Impairment
T1685.004	Defense Impairment	Disable or Modify Linux Audit System Log	Defense Impairment
T1685.005	Defense Impairment	Clear Windows Event Logs	Defense Impairment
T1685.006	Defense Impairment	Clear Linux or Mac System Logs	Defense Impairment
T1686	Defense Impairment	Disable or Modify System Firewall	Defense Impairment
T1686.001	Defense Impairment	Cloud Firewall	Defense Impairment
T1686.002	Defense Impairment	Network Device Firewall	Defense Impairment
T1686.003	Defense Impairment	Windows Host Firewall	Defense Impairment
T1687	Defense Impairment	Exploitation for Defense Impairment	Defense Impairment
T1688	Defense Impairment	Safe Mode Boot	Defense Impairment
T1689	Defense Impairment	Downgrade Attack	Defense Impairment
T1690	Defense Impairment	Prevent Command History Logging	Defense Impairment
